1,2,3,4,5,6,7,8,9,10,victories,total_score
0,0,12,0,0,26,1,0,34,27,2849.0,103029.5
3,3,6,12,13,23,1,3,29,7,2789.5,116007.5
0,0,14,2,0,23,3,0,35,23,2809.5,106106.0
0,0,12,2,1,22,1,6,31,25,2785.0,108508.0
0,1,11,2,5,23,1,1,35,21,2834.5,110397.0
3,3,7,13,11,22,4,2,26,9,2786.5,115854.0
0,0,0,15,18,2,4,1,35,25,2815.5,107731.0
0,0,12,0,0,23,0,0,34,31,2794.5,102638.5
0,0,14,0,0,24,1,0,32,29,2790.5,101939.0
0,0,13,0,0,23,3,0,34,27,2821.0,104800.0
0,0,3,15,2,23,3,2,31,21,2786.0,111887.5
0,0,0,15,22,1,2,3,35,22,2799.5,106774.5
0,3,2,15,18,2,5,0,32,23,2791.0,110438.0
0,0,12,0,0,24,5,3,32,24,2786.5,106939.0
0,3,8,12,12,0,22,5,32,6,2791.5,114326.0
0,0,11,1,0,24,0,4,34,26,2816.5,106176.0
0,0,13,2,0,23,0,0,35,27,2815.0,104089.0
0,0,9,0,2,2,28,31,5,23,2797.5,111805.5
0,3,10,0,3,23,2,2,33,24,2839.0,110890.5
3,3,8,8,13,21,0,5,33,6,2809.0,114942.5
3,3,7,15,12,21,2,5,26,6,2786.0,115599.5
3,2,1,14,2,21,3,27,5,22,2790.5,113891.0
0,0,13,1,1,24,0,0,32,29,2804.5,103665.5
0,0,12,0,0,23,0,0,33,32,2821.0,102696.5
0,0,3,15,19,1,2,0,33,27,2793.5,107640.5
0,0,12,0,0,24,5,1,32,26,2793.0,105950.5
0,0,12,0,0,24,0,0,35,29,2790.5,102038.5
0,3,3,15,19,2,4,0,32,22,2792.5,110754.5
3,2,8,12,13,21,1,2,31,7,2817.0,115643.5
0,0,10,0,0,23,3,3,34,27,2849.5,107827.0
0,0,11,0,0,24,2,0,33,30,2795.5,104204.0
0,0,12,2,0,23,3,4,31,25,2840.0,108565.5
0,3,2,15,3,16,4,28,6,23,2837.5,113509.5
3,3,7,9,14,23,3,5,27,6,2816.0,116579.0
0,0,8,15,13,1,23,4,31,5,2789.0,112648.5
0,0,12,0,0,23,0,0,34,31,2794.5,102682.5
0,0,13,0,0,23,3,0,35,26,2819.0,104740.0
0,0,13,0,4,24,2,0,34,23,2799.5,106326.5
0,0,0,15,19,2,2,0,34,28,2800.5,105633.0
0,0,15,0,0,23,1,0,35,26,2795.0,102357.5
3,0,6,15,12,23,3,3,29,6,2792.5,114834.5
0,0,0,15,20,2,3,0,34,26,2796.0,106211.0
3,3,11,0,2,22,1,3,33,22,2810.0,110723.5
0,3,2,15,1,22,2,26,6,23,2830.5,113826.5
0,0,13,0,0,23,0,1,36,27,2801.0,103149.0
3,3,6,12,11,22,0,3,31,9,2786.0,114533.5
0,3,2,15,19,2,2,5,31,21,2790.5,111418.0
3,3,7,9,14,23,0,2,32,7,2802.0,115126.0
0,2,2,10,3,23,3,32,4,21,2787.0,115408.5
3,3,8,10,12,22,0,3,33,6,2835.5,115172.5
3,3,6,13,11,24,2,5,26,7,2790.5,115822.0
0,0,13,0,0,23,2,0,34,28,2842.5,104065.5
0,0,15,0,1,23,0,1,35,25,2794.0,103508.0
0,0,13,0,0,24,2,4,32,25,2794.5,105941.5
0,3,0,15,21,2,2,2,32,23,2802.0,109010.0
0,0,2,14,17,0,4,3,34,26,2812.5,109325.0
0,3,13,2,3,23,0,0,35,21,2788.0,108243.5
3,3,9,8,11,23,4,3,29,7,2792.5,115721.0
0,2,11,3,3,23,3,0,32,23,2876.0,111356.0
0,0,11,0,2,24,0,0,35,28,2805.5,104545.0
1,0,13,0,0,25,1,0,33,27,2804.5,103233.0
3,3,10,1,2,22,1,2,35,21,2787.5,111494.0
3,3,10,9,10,22,3,1,32,7,2816.0,115041.0
0,3,2,15,18,2,1,5,33,21,2808.5,111516.0
0,3,8,3,3,23,0,5,34,21,2820.0,112187.0
0,0,0,15,21,3,3,0,33,25,2796.0,106230.5
0,0,12,0,0,24,0,0,32,32,2799.0,102241.0
1,0,12,1,0,23,1,0,36,26,2811.5,105199.0
0,0,12,0,0,23,4,0,34,27,2815.5,105428.5
3,3,6,14,13,20,3,3,28,7,2799.5,116032.5
0,0,14,1,0,23,2,0,33,27,2805.0,104743.0
0,0,13,0,0,24,1,0,34,28,2867.5,103006.5
0,3,0,15,18,2,3,1,32,26,2802.5,109286.5
0,0,15,0,1,24,1,0,33,26,2786.0,103288.0
0,0,0,15,18,0,3,3,35,26,2804.5,107091.5
0,0,9,15,16,0,22,0,32,6,2787.5,110932.5
3,3,6,9,12,22,1,5,33,6,2839.5,116333.5
0,0,10,0,0,24,1,1,32,32,2796.0,104877.5
0,0,0,15,19,0,2,2,34,28,2789.5,105697.5
0,1,12,0,0,26,0,0,33,28,2787.0,102634.0
0,3,3,12,3,24,1,26,7,21,2831.5,114383.0
0,0,12,3,0,23,5,0,35,22,2811.5,107593.5
1,0,0,15,20,2,3,0,32,27,2786.0,106413.5
0,0,11,0,0,22,3,3,36,25,2837.5,107317.0
0,0,11,0,1,24,0,0,35,29,2811.0,103541.0
2,1,3,15,3,19,2,26,6,23,2790.5,113342.0
0,0,11,0,0,23,0,2,35,29,2794.5,104345.5
0,0,13,0,0,27,1,0,33,26,2788.5,102055.0
0,0,11,0,0,24,6,2,35,22,2802.0,107132.0
1,0,0,15,17,1,2,4,32,28,2801.5,107752.5
0,0,3,15,21,0,3,0,33,25,2785.0,106772.0
0,0,11,0,0,24,0,0,33,32,2785.0,102696.5
3,3,6,12,13,22,0,4,31,6,2796.0,115571.5
0,0,0,15,2,21,3,31,5,23,2816.0,111789.0
0,0,13,0,0,23,2,2,33,27,2857.5,105925.0
0,3,11,5,0,22,3,2,33,21,2791.0,111393.0
0,0,14,0,0,24,1,0,33,28,2835.5,102455.0
0,0,0,15,20,1,2,0,34,28,2797.5,104785.5
0,3,2,13,18,0,2,3,33,26,2805.0,110453.0
0,0,6,15,17,0,21,1,32,8,2792.0,111958.0
0,0,10,0,5,24,4,3,32,22,2819.0,109900.5
0,0,15,0,0,23,1,0,35,26,2795.0,102424.5
0,0,3,15,18,1,5,1,35,22,2822.0,109726.5
0,0,11,0,0,24,0,0,33,32,2785.0,102648.5
0,0,12,0,0,23,0,0,32,33,2787.0,102373.5
